***
Some things have gotten removed such as:
- tatsuro yamashita - ride on time, etc.
- some dreamcatcher b sides - some kind of licensincg rereleas of music, will have to add songs back to playlist

so I will also keep old version of playlist
***

986  Items In Playlist
The Drifters - Under the Boardwalk :  Bees Knees Oldies
the Drifters There Goes my Baby :  Alan C
Port City Sound performing during a flight delay! :  Kari Mann
The Weeknd - Blinding Lights (Official Audio) :  The Weeknd
Pigstep (Stereo Mix) :  Lena Raine
Days Of Wine And Roses :  Dizzy Gillespie - Topic
Dean Martin - That's Amore :  NM Catalogue
I Don't Want to Set the World on Fire :  The Ink Spots - Topic
Sure Sure - Peaceful In My Mind (Unofficial Music Video) :  Sure Sure
Donkey Kong Rap :  ChangoDeGuerra
Bob Marley - Is This Love :  Reggae Life
Bob Marley - Stir it up :  BoBMArleySong1
CKay - Love Nwantiti [Acoustic Version] :  CKay
Joe Hisaishi - The Rain :  Joe Hisaishi Official
Joe Hisaishi - Ashitaka and San :  Joe Hisaishi Official
Initial D - Deja Vu :  Pretty ok
Autumn Leaves - Chet Baker &amp; Paul Desmond Together :  Brunex Barrios
Lauv - I Like Me Better [Official Audio] :  Lauv
Lauv - Paris in the Rain [Official Video] :  Lauv
John Mayer - Neon (Live In LA - 1080p) :  Paul Kellerman
When I Fall In Love :  Nat King Cole
The Very Thought Of You :  Nat King Cole
You were there -Al Bowlly 1936 :  Blank Canvas Indie Films
Munx Gregoriana - Halo Theme Song LIVE chant in a BIG Echo Chapel | Halo Infinite Tribute :  Game Music Collective
Halo Theme Song - Gregorian Ensemble sings in a Church [LIVE - BIG Echo] Halo Infinite Tribute :  Munx Gregoriana
Autumn Leaves :  Cannonball Adderley
Ray Charles - Hallelujah I Love Her So (1955) :  ChorchWorld
Whitesnake - Is This Love :  80sclassicrocksongs
Survivor - Eye Of The Tiger (Official HD Video) :  Survivor Band
Survivor - Is This Love (Video) :  Survivor Band
Journey - Separate Ways (Worlds Apart) (Official HD Video - 1983) :  journey
Journey - Don't Stop Believin' (Official Audio) :  journey
Across The Universe (Remastered 2009) :  The Beatles
The Beatles - Something :  The Beatles
Super Smash 🎹 :  Anomalie
Let It Be (2021 Mix) :  The Beatles
Please Mister Postman (Remastered 2009) :  The Beatles
The Marvelettes - Please Mr. Postman (1961) :  ticktock70
The Music of Cuphead - The Delicious Last Course: Recording the ‘Overture’ :  Studio MDHR
Persona 4 Golden - Shadow World Full version w/ Lyrics :  Logan Starz
Island Ding (STOP POSTING ABOUT DONKEY KONG full song) :  Udge
The Mystic Crystal - NSP :  Ninja Sex Party
Worlds Hardest Tenor Solo :  TDDrummer
Maynard Ferguson - Gonna fly now - Mike Douglas Show 1977 :  4greatmf
Ray Anthony &amp; His Orchestra - What's New (Capitol Records 1960) :  RoundMidnightTV
Ray Anthony &amp; His Orchestra – All Anthony And No Cleopatra/Mr. Anthony’s Boogie :  Pavel Voronin
Stevie Wonder I Just Called To Say I Love You :  no
Dua Lipa - Break My Heart (Official Video) :  Dua Lipa
Lucky Chops - LC Full Blast (Studio Video) :  Lucky Chops
Engelwood - Pineapple (Official Music Video) :  Engelwood
Sebastián Yatra - Two Oruguitas (From &quot;Encanto&quot;/Audio Only) :  DisneyMusicVEVO
Anomalie - Come Running To Me :  Anomalie
Sebastián Yatra - Dos Oruguitas (From &quot;Encanto&quot;/Lyric Video) :  DisneyMusicVEVO
Aimer - Kataomoi / THE FIRST TAKE :  THE FIRST TAKE
